player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
KL Rahul,PBKS,https://scores.iplt20.com/ipl/playerimages/KL Rahul.png?v=1,670,14,14,2,132*,55.83,518,129.34,1,5,58,23
Shikhar Dhawan,DC,https://scores.iplt20.com/ipl/playerimages/Shikhar Dhawan.png?v=1,618,17,17,3,106*,44.14,427,144.73,2,4,67,12
David Warner,SRH,https://scores.iplt20.com/ipl/playerimages/David Warner.png?v=1,548,16,16,2,85*,39.14,407,134.64,0,4,52,14
Shreyas Iyer,DC,https://scores.iplt20.com/ipl/playerimages/Shreyas Iyer.png?v=1,519,17,17,2,88*,34.60,421,123.27,0,3,40,16
Ishan Kishan,MI,https://scores.iplt20.com/ipl/playerimages/Ishan Kishan.png?v=1,516,14,13,4,99,57.33,354,145.76,0,4,36,30
Quinton de Kock,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,503,16,16,2,78*,35.92,358,140.50,0,4,46,22
Suryakumar Yadav,MI,https://scores.iplt20.com/ipl/playerimages/Suryakumar Yadav.png?v=1,480,16,15,3,79*,40.00,331,145.01,0,4,61,11
Devdutt Padikkal,RCB,https://scores.iplt20.com/ipl/playerimages/Devdutt Padikkal.png?v=1,473,15,15,0,74,31.53,379,124.80,0,5,51,8
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,466,15,15,4,90*,42.36,384,121.35,0,3,23,11
AB de Villiers,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,454,15,14,4,73*,45.40,286,158.74,0,5,33,23
Faf du Plessis,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,449,13,13,2,87*,40.81,319,140.75,0,4,42,14
Shubman Gill,KKR,https://scores.iplt20.com/ipl/playerimages/Shubman Gill.png?v=1,440,14,14,1,70*,33.84,373,117.96,0,3,44,9
Manish Pandey,SRH,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,425,16,15,2,83*,32.69,333,127.62,0,3,35,18
Mayank Agarwal,PBKS,https://scores.iplt20.com/ipl/playerimages/Mayank Agarwal.png?v=1,424,11,11,0,106,38.54,271,156.45,1,2,44,15
Eoin Morgan,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,418,14,14,4,68*,41.80,302,138.41,0,1,32,24
Sanju Samson,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,375,14,14,1,85,28.84,236,158.89,0,3,21,26
Ambati Rayudu,CSK,https://scores.iplt20.com/ipl/playerimages/Ambati Rayudu.png?v=1,359,12,11,2,71,39.88,282,127.30,0,1,30,12
Nicholas Pooran,PBKS,https://scores.iplt20.com/ipl/playerimages/Nicholas Pooran.png?v=1,353,14,14,4,77,35.30,208,169.71,0,2,23,25
Nitish Rana,KKR,https://scores.iplt20.com/ipl/playerimages/Nitish Rana.png?v=1,352,14,14,0,87,25.14,254,138.58,0,3,43,12
Marcus Stoinis,DC,https://scores.iplt20.com/ipl/playerimages/Marcus Stoinis.png?v=1,352,17,17,3,65,25.14,237,148.52,0,3,31,16
Jonny Bairstow,SRH,https://scores.iplt20.com/ipl/playerimages/Jonny Bairstow.png?v=1,345,11,11,0,97,31.36,272,126.83,0,3,31,13
Rishabh Pant,DC,https://scores.iplt20.com/ipl/playerimages/Rishabh Pant.png?v=1,343,14,14,3,56,31.18,301,113.95,0,1,31,9
Rohit Sharma,MI,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,332,12,12,0,80,27.66,260,127.69,0,3,27,19
