player,team,image,Player,Runs,Mat,Inns,NO,HS,Avg,BF,SR,100,50,4s
Matthew Hayden,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,572,12,12,1,89,52.00,395,144.81,0,5,60,22
Adam Gilchrist,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,495,16,16,0,85,30.93,325,152.30,0,3,54,29
Suresh Raina,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,434,14,14,0,98,31.00,308,140.90,0,2,37,21
JP Duminy,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,372,13,12,3,62,41.33,325,114.46,0,5,26,11
Herschelle Gibbs,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,371,14,14,3,69*,33.72,331,112.08,0,4,32,12
Brad Hodge,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,365,12,12,3,73,40.55,310,117.74,0,3,34,9
Sachin Tendulkar,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,364,13,13,2,68,33.09,303,120.13,0,2,39,10
Rohit Sharma,DEC,https://scores.iplt20.com/ipl/playerimages/Rohit Sharma.png?v=1,362,16,16,3,52,27.84,315,114.92,0,1,22,18
Jacques Kallis,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,361,15,15,2,69*,27.76,332,108.73,0,3,37,8
Yuvraj Singh,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,340,14,14,2,58*,28.33,294,115.64,0,2,25,16
Kumar Sangakkara,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,332,14,13,2,60,30.18,324,102.46,0,2,29,5
MS Dhoni,CSK,https://scores.iplt20.com/ipl/playerimages/MS Dhoni.png?v=1,332,14,13,5,58*,41.50,261,127.20,0,2,22,9
Ravindra Jadeja,RR,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,295,13,13,2,42,26.81,266,110.90,0,0,21,6
Brendon McCullum,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,285,13,13,1,84*,23.75,239,119.24,0,2,27,12
Ross Taylor,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,280,11,11,2,81*,31.11,208,134.61,0,1,20,15
Rahul Dravid,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,271,13,12,0,66,22.58,234,115.81,0,1,28,3
Andrew Symonds,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,249,8,8,1,60*,35.57,166,150.00,0,1,15,11
Virat Kohli,RCB,https://scores.iplt20.com/ipl/playerimages/Virat Kohli.png?v=1,246,16,13,2,50,22.36,219,112.32,0,1,22,8
Yusuf Pathan,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,243,13,13,1,62*,20.25,183,132.78,0,1,24,12
Tirumalasetti Suman,DEC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,237,12,12,2,41*,23.70,190,124.73,0,0,18,8
Sanath Jayasuriya,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,221,12,12,0,52,18.41,192,115.10,0,2,23,7
Mahela Jayawardena,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,219,10,10,4,52*,36.50,165,132.72,0,1,17,7
Dwayne Bravo,MI,https://scores.iplt20.com/ipl/playerimages/Dwayne Bravo.png?v=1,218,11,10,2,70*,27.25,203,107.38,0,2,15,8
Dwayne Smith,DEC,https://scores.iplt20.com/ipl/playerimages/Dwayne Smith.png?v=1,215,8,8,0,49,26.87,132,162.87,0,0,12,15
Graeme Smith,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,212,12,12,1,77,19.27,216,98.14,0,1,27,1
Irfan Pathan,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,196,14,12,2,39,19.60,158,124.05,0,0,17,6
Abhishek Nayar,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,193,13,11,2,35,21.44,152,126.97,0,0,14,7
Sourav Ganguly,KKR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,189,13,11,0,46,17.18,207,91.30,0,0,13,6
Subramaniam Badrinath,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,177,14,11,2,59*,19.66,164,107.92,0,1,20,4
Robin Uthappa,RCB,https://scores.iplt20.com/ipl/playerimages/Robin Uthappa.png?v=1,175,15,13,2,66*,15.90,170,102.94,0,1,18,3
Chris Gayle,KKR,https://scores.iplt20.com/ipl/playerimages/Chris Gayle.png?v=1,171,7,7,1,44*,28.50,143,119.58,0,0,15,10
Manish Pandey,RCB,https://scores.iplt20.com/ipl/playerimages/Manish Pandey.png?v=1,168,5,4,2,114*,84.00,118,142.37,1,0,17,4
Naman Ojha,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,168,8,8,1,68,24.00,144,116.66,0,2,11,11
Mark Boucher,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,150,12,9,4,48*,30.00,116,129.31,0,0,8,6
Simon Katich,PBKS,https://scores.iplt20.com/ipl/playerimages/Simon Katich.png?v=1,145,9,9,0,50,16.11,117,123.93,0,1,15,6
Ajinkya Rahane,MI,https://scores.iplt20.com/ipl/playerimages/Ajinkya Rahane.png?v=1,144,8,7,1,62*,24.00,123,117.07,0,2,12,3
Parthiv Patel,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,142,9,9,0,36,15.77,126,112.69,0,0,19,2
