player,team,image,Player,Wkts,Mat,Inns,Ov,Runs,BBI,Avg,Econ,SR,4w
Imran Tahir,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png,26,17, 17, 64,431,4/12,16.57,6.69, 14.84 ,2,0
Kagiso Rabada,DC,https://scores.iplt20.com/ipl/playerimages/Kagiso Rabada.png?v=1,25,12, 12, 47,368,4/21,14.72,7.82, 11.28 ,2,0
Deepak Chahar,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,22,17, 17, 64,482,4/13,21.90,7.47, 17.59 ,0,0
Shreyas Gopal,RR,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,20,14, 14, 48,347,4/16,17.35,7.22, 14.40 ,0,0
Mohammad Shami,PBKS,https://scores.iplt20.com/ipl/playerimages/Mohammad Shami.png?v=1,19,14, 14, 54,469,3/15,24.68,8.68, 17.05 ,0,0
Khaleel Ahmed,SRH,https://scores.iplt20.com/ipl/playerimages/Khaleel Ahmed.png?v=1,19,9, 9, 35,287,3/21,15.10,8.23, 11.00 ,0,0
Jasprit Bumrah,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,19,16, 16, 61,409,4/14,21.52,6.63, 19.47 ,0,0
Yuzvendra Chahal,RCB,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,18,14, 14, 49,386,4/25,21.44,7.82, 16.44 ,1,0
Rashid Khan,SRH,https://scores.iplt20.com/ipl/playerimages/Rashid Khan.png?v=1,17,15, 15, 60,377,3/19,22.17,6.28, 21.17 ,0,0
Lasith Malinga,MI,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,16,12, 12, 45,438,5/13,27.37,9.76, 16.81 ,2,0
Harbhajan Singh,CSK,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,16,11, 11, 44,312,5/18,19.50,7.09, 16.50 ,0,0
Ravichandran Ashwin,PBKS,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,15,14, 14, 55,400,4/34,26.66,7.27, 22.00 ,0,0
Ravindra Jadeja,CSK,https://scores.iplt20.com/ipl/playerimages/Ravindra Jadeja.png?v=1,15,16, 16, 54,343,5/16,22.86,6.35, 21.60 ,0,0
Hardik Pandya,MI,https://scores.iplt20.com/ipl/playerimages/Hardik Pandya.png?v=1,14,16, 16, 42,390,3/20,27.85,9.17, 18.21 ,0,0
Chris Morris,DC,https://scores.iplt20.com/ipl/images/default-player-statsImage.png?v=1,13,9, 9, 33,306,4/23,23.53,9.27, 15.23 ,0,0
Rahul Chahar,MI,https://scores.iplt20.com/ipl/playerimages/Rahul Chahar.png?v=1,13,13, 13, 47,308,4/27,23.69,6.55, 21.69 ,0,0
